phraseId,phrase
23440656,ಪುನಃ ಆಲ್ಬಕರ್ಕ್ ಸ್ವಲ್ಪ ಕಾಲದಲ್ಲೇ ಗೋವವನ್ನು ವಶಪಡಿಸಿಕೊಂಡು ಪೋರ್ಚುಗೀಸರ ಆಡಳಿತವನ್ನು ಸ್ಥಾಪಿಸಿದ
23489492,ಹಿಂದಿಯಲ್ಲಿ ಆಚಾರ್ ಪದದ ಅರ್ಥ ಉಪ್ಪಿನಕಾಯಿ ಎಂದೂ ಆಗಿದೆ
24279420,ವಿಧಾನ ಸೌಧವನ್ನು ತೋರಿಸಿ.
23381498,ಇದು ನೀರಾವರಿ ಇಲಾಖೆಗೆ ಸೇರಿದ್ದು ಪ್ರವಾಸಿಗರಿಗೆ ಉಳಿದುಕೊಳ್ಳಲು ವಸತಿ ಸೌಕರ್ಯವಿದೆ
23416238,ಅನೇಕ ಕೋಟೆಗಳು ಇನ್ನೂ ಅವರ ವಶದಲ್ಲೇ ಇದ್ದುವು
24044056,ಈ ಬಸದಿಯನ್ನು ಎರ್ಮಾಳು ಬೀಡಿನ ಪೂರ್ವಿಕರು ಸುಮಾರು ೭೦೦ ವರ್ಷಗಳ ಹಿಂದೆ ನಿರ್ಮಿಸಿದರು ಎಂದು ಹೇಳುತ್ತಾರೆ
23481356,ಕೇರಳದ ಸಂಗೀತ ಕೌಶಲ ಒಂದು ನಿಶ್ಚಿತವಾದ ಶೈಲಿಯಲ್ಲಿ ಬೆಳೆದುಕೊಂಡು ಬಂದಿದೆ
23655266,ಹುಬ್ಬಳ್ಳಿಯ ಹತ್ತಿರದ ಕಾರು ಬಾಡಿಗೆ ಸೇವೆಗಳನ್ನು ಹುಡುಕಿ.
23340080,ಈ ಸಸ್ಯದ ಹೂವುಗಳು ಐದು ದಳಗಳನ್ನು ಹೊಂದಿರುತ್ತದೆ
23382228,ಈ ಸದಸ್ಯರನ್ನು ರಾಜ್ಯ ವಿಧಾನ ಮಂಡಲಕ್ಕೆ ಆಯ್ಕೆ ಮಾಡಲಾಗುತ್ತದೆ
23549542,ಅದಕ್ಕೂ ಮೊದಲೇ ಅವರು ಲಷ್ಕರಿ ಶಾಸನದ ಮುಖ್ಯ ಆಡಳಿತಗಾರರೂ ಸೇನಾ ಮಹಾ ದಂಡನಾಯಕರೂ ಆಗಿದ್ದರು
23349174,ಈ ಮಿತಿ ಮತ್ತು ವ್ಯತ್ಯಾಸಗಳನ್ನು ಮೀರಿಸಲು ಪ್ರಾಯೋಗಿಕ ಬಳಕೆಯಲ್ಲಿ ಹಲವಾರು ನಿರ್ವಹಣಾ ಚಾತುರ್ಯಗಳನ್ನು ಬಳಸಲಾಗುತ್ತದೆ
23367862,ಇಂತಹ ಬೋನ್ಸಾಯ್ ಗಿಡಗಳ ಬಗೆಗಿನ ಅಚ್ಚರಿಯ ಸಂಗತಿಯೆಂದರೆ ಇವು ಒಂದು ಶತಮಾನ ಅಥವಾ ಅದಕ್ಕಿಂತ ಹೆಚ್ಚು ವರ್ಷಗಳ ಕಾಲ ಬದುಕಬಲ್ಲವು
23405874,ಭಾರತೀಯ ಮಾನವು ಮಾಡ್ಯುಲರ್ ಇಟ್ಟಿಗೆಗಳನ್ನು ಬಳಸಲು ನಿರ್ದೇಶಿಸಿದೆ
24174022,ಜನರಲ್ ಮೋಟರ್ಸ್ ೧೯೦೮ರಲ್ಲಿ ಸ್ಥಾಪನೆಗೊಂಡ ಒಂದು ಮೋಟಾರು ವಾಹನ ತಯಾರಿಸುವ ಕಂಪನಿ
23529994,ಬಯಲು ಸೀಮೆಯಲ್ಲಿ ಇದು ಛತ್ರಿಯಾಕಾರದ ಮರವಾಗಿ ಬೆಳೆಯುತ್ತದೆ
23546424,ಒಳಗಿನ ಪ್ರಾರ್ಥನಾ ಮಂಟಪದಲ್ಲಿ ನಾಲ್ಕು ಕಂಬಗಳಿರುವ ಮಂಟಪ ಇಲ್ಲ
23485518,ಆ ಸಮಯದಲ್ಲಿ ಪುರಾತನ ಸಿಂಧೂ ನದಿಯ ಹಿಂದಿನ ಹರಿವಿನ ಅಸ್ತಿತ್ವವನ್ನು ಸೂಚಿಸುವ ಕುರುಹು ಕಾಣುವುದು
23437004,ವೈಕುಂಠದ ಅಧಿಪತಿಯಾದ ಮಹಾವಿಷ್ಣುವು ದುಷ್ಟಶಕ್ತಿಗಳನ್ನು ಸಂಹರಿಸಲು ರಾಮನ ಅವತಾರ ಎತ್ತಿದ ಯುಗವೆಂದು ಹೇಳಲಾಗುತ್ತದೆ
23542686,ದಫ್ತರ್ ಗಳಲ್ಲಿ ಅದರ ಬಗ್ಗೆ ದಿನವೆಲ್ಲಾ ಚರ್ಚೆ ನಡೆಯುತ್ತಿರುತ್ತದೆ
23438796,ಹಾಡುಗಾರರು ತಮಗೆ ಸುಂದರವಾಗಿ ಕಾಣುವ ಇಷ್ಟವಾದ ಉಡುಗೆ ತೊಡುಗೆಗಳನ್ನು ಧರಿಸುತ್ತಾರೆ
23533916,ದ್ವೀಪಕ್ಕೆ ಭೇಟಿ ನೀಡುವ ಯುರೊಪ್ ದೇಶದ ಎಲ್ಲರೊಂದಿಗೆ ಸೇರಿ ಗುರ್ನಸಿ ಪ್ರತಿವರ್ಷ ಕ್ರೀಡೆಗಳನ್ನು ಆಯೋಜಿಸುತ್ತದೆ
23374560,ಆದರೆ ಈ ನಿಯಮವನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಸೋಲಿಸುವುದರಲ್ಲಿ ಇದುವರೆಗೂ ಅಸಮರ್ಥನಾಗಿದ್ದಾನೆ
24219536,ಕಾಡಿನಲ್ಲಿ ಪ್ರತಿಯೊಂದು ಪ್ರಾಣಿಯನ್ನು ಹಿಡಿಯುವ ಪ್ರಕ್ರಿಯೆಯಲ್ಲಿ ಅನೇಕ ಇತರ ಪ್ರಾಣಿಗಳನ್ನು ಕೂಡ ಕೊಲ್ಲಲಾಗುತ್ತದೆ
23426410,ಜ್ವಾಲೆಯ ಮರ ಎಂದು ಕರೆಯಲ್ಪಡುವ ಹಲವಾರು ವೃಕ್ಷಗಳಲ್ಲಿ ಇದೂ ಒಂದಾಗಿದೆ
23515992,ಲೂಟಿ ಮಾಡುವವರು ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರದ ಪ್ರದೇಶಗಳನ್ನು ನಾಶ ಮಾಡುತ್ತಾರೆ
23441358,ಹೆಚ್ಚು ಜನಪ್ರಿಯವಾಗಿ ದಾಬೋಲಿಮ್ ನಿಲ್ದಾಣವೆಂದು ಕರೆಯಲ್ಪಡುವ ಈ ವಿಮಾನ ನಿಲ್ದಾಣವು ಗೋವಾದ ದಾಬೋಲಿಮ್ ಎಂಬ ಪ್ರದೇಶದಲ್ಲಿ ನೆಲೆಸಿದೆ
23402030,ನವೀ ಮುಂಬಯಿ ಜಗತ್ತಿನ ದೊಡ್ಡ ಯೋಜನಾಬದ್ಧ ನಗರವಾಗಿದೆ
23387958,ಸೇ ಹಲವಾರು ಆರ್ಥಿಕ ಅಭಿಪ್ರಾಯಗಳನ್ನು ಅಭಿವೃದ್ದಿ ಪಡಿಸಿದ್ದಾನೆ
23424864,ಭೂತನಾಳ ಕೆರೆಯು ಕರ್ನಾಟಕ ರಾಜ್ಯದ ವಿಜಯಪುರ ಜಿಲ್ಲೆಯ ವಿಜಯಪುರ ತಾಲ್ಲೂಕಿನಲ್ಲಿದೆ
23485050,ವಿವಿಧ ರೀತಿಯ ಸಂಬಂಧಿತ ಸೇವೆಗಳನ್ನು ಒದಗಿಸಲು ಸಾಂಪ್ರದಾಯಿಕ ನಿರ್ವಹಣಾ ಲೆಕ್ಕಪತ್ರ ಲೋಕದ ಆಚೆಗಿರುವ ತಮ್ಮ ವೃತ್ತಿಯನ್ನು ವಿಸ್ತರಿಸುತ್ತವೆ
23377676,ಪ್ರಾಚೀನ ಕಾಲದಿಂದಲೂ ಶ್ರೀಶೈಲ ಯಾತ್ರೆಯು ಮೋಕ್ಷದಾಯಕವೆಂದು ಭಕ್ತರ ನಂಬಿಕೆ
23632840,ನನಗೆ ಎಂಜಿ ರೋಡ್‌ನಲ್ಲಿ ಶಾಪಿಂಗ್ ಮಾಲ್‌ಗಳನ್ನು ಹುಡುಕಲು ಸಹಾಯ ಮಾಡಿ.
23343590,ಹೆಚ್ಚಿನ ಅವಮಾನವನ್ನು ಸಹಿಸಲಾಗದೆ ಸತಿಯು ಯಜ್ಞದ ಬೆಂಕಿಗೆ ಹಾರಿ ತನ್ನ ಪ್ರಾಣವನ್ನು ತೆಗೆದುಕೊಂಡಳು
23506914,ನಂತರ ಅದರಿಂದ ನೇಯಲು ಅಥವಾ ಹೆಣೆಯಲು ಬೇಕಾಗುವ ನೂಲನ್ನು ತೆಗೆಯಲಾಗುತ್ತದೆ
23580550,ಮೂರು ವರ್ಷದ ಮಗುವಿನಲ್ಲಿ ಈ ರೀತಿಯ ಬೆಳವಣಿಗೆಯಾಗುತ್ತದೆ
23587390,ಈ ಪ್ರದೇಶದಲ್ಲಿ ಚರ್ಚುಗಳನ್ನು ಹುಡುಕಿ.
23634346,ನನಗೆ ಹಿಂದಿನ ವರ್ಷದ ಯುಗಾದಿ ದಿನಾಂಕವನ್ನು ಹೇಳಿ.
23386966,ಅವರ ಸಹಾಯದಿಂದ ಭರಣಿ ಸಣ್ಣ ಸಂಭಾಷಣೆಗಳನ್ನು ಮತ್ತು ದೃಶ್ಯ ದೃಶ್ಯಗಳನ್ನು ಬರೆಯಲು ಪ್ರಾರಂಭಿಸಿದರು
23546260,ಪ್ರತಿಯೊಂದು ಹೆಜ್ಜೆ ಮತ್ತು ಚಲನೆಯು ವಿಶಿಷ್ಟವಾದ ಯುದ್ಧ ತಂತ್ರಗಳನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಚಿತ್ರಿಸುತ್ತದೆ
23513752,ಚಿತ್ರದಲ್ಲಿ ಚಿರಂಜೀವಿ ಸರ್ಜಾ ಮತ್ತು ರಾಗಿಣಿ ದ್ವಿವೇದಿ ಮುಖ್ಯ ಭೂಮಿಕೆಯಲ್ಲಿದ್ದಾರೆ
23490022,ಮಾನಸಿಕ ಅಸ್ವಸ್ಥತೆಯನ್ನು ವಿವಿಧ ಬಗೆಯ ದೃಷ್ಟಿಕೋನಗಳಿಂದ ನೋಡಬಹುದಾಗಿದೆ
23637844,ಪ್ಯಾಸೆಂಜರ್ ಸೈಡ್ ಹಿಂಬದಿಯ ಸೀಟಿನ ಸೊಂಟದ ಆಧಾರವನ್ನು ಹೆಚ್ಚಿಸಿ
23564282,ಪ್ರಾಚೀನ ಶಿಲಾಯುಗದ ಅವಶೇಷಗಳ ಶೋಧನೆಯ ಕಾರ್ಯದಲ್ಲಿ ತೊಡಗಿಸಿಕೊಂಡರು
23358166,ರಾಷ್ಟ್ರೀಯ ಕಾನೂನು ರಚನೆಯ ಮೂಲಕ ತೀವ್ರ ಪ್ರಮಾಣದಲ್ಲಿ ಜೈವಿಕ ಸಂರಕ್ಷಣೆಯನ್ನು ಮಾಡಿದ ಮೊದಲ ರಾಷ್ಟ್ರವೆಂದರೆ ಅಮೆರಿಕ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನ
24041032,ಸೂರ್ಯ ದೇವರು ಎಲ್ಲಾ ಜೀವಿಗಳ ಆತ್ಮ ಮತ್ತು ಮೂಲವೆಂದು ಗುರುತಿಸುತ್ತದೆ
23376246,ತನ್ನ ಚಾರಿತ್ರ್ಯವನ್ನು ಸೀತೆ ಮಾಯಾಮೃಗ ಪ್ರಸಂಗದಲ್ಲಿ ಶಂಕಿಸಿದ ನಂತರ ಲಕ್ಷ್ಮಣ ಜೀವನಪರ್ಯಂತ ಅವಳೊಡನೆ ಮಾತು ಬಿಡುತ್ತಾನೆ
23435980,ಅದು ಹೆಚ್ಚಾಗಿ ಧಾರ್ಮಿಕ ವಿಷಯಗಳನ್ನು ಬೋಧಿಸುವ ಶಾಲೆ
23338736,ಈ ಪ್ರದೇಶದಲ್ಲಿ ರಾಕ್ಷಸನನ್ನು ದೇವಿ ಕೊಂದಿದ್ದರಿಂದ ಮೈಸೂರು ಎಂಬ ಹೆಸರು ಬಂದಿದೆ
24279650,ಶ್ರುತಿಯವರ ಆಫೀಸ್ ನಂಬರಿಗೆ ಸಂದೇಶ ಕಳಿಸಬಹುದೇ
24197560,೧೮೭೦ ರಲ್ಲಿ ಬೊಹ್ರಾ ಪುರೋಹಿತರ ವಿರುದ್ಧ ಮಾಡಿದ ಸುಧಾರಣಾ ಆಂದೋಳನದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಬೊಹ್ರಾ ಧರ್ಮದಿಂದ ಅವರನ್ನು ಹೊರಗೆ ಹಾಕಲಾಗಿತ್ತು
23560856,ಕಪ್ಪು ಇಲಿಯು ಕಪ್ಪು ಬಣ್ಣದಿಂದ ತಿಳಿ ಕಂದು ಬಣ್ಣದಲ್ಲಿ ಕೆಳಭಾಗವನ್ನು ಹೊಂದಿರುತ್ತದೆ
23480032,ಇದು ಒಂದು ಅತಿ ತೀವ್ರವಾದ ಮತ್ತು ಹೆಚ್ಚು ಸಾಮಾನ್ಯವಾಗಿ ಕಾಣಿಸಿಕೊಳ್ಳುವ ರೋಗ
23378102,ಕೈಗಾರಿಕಾ ಸಹಕಾರ ಸಂಘಗಳು ನಿಯಂತ್ರಿತ ಮಾರುಕಟ್ಟೆ ಮತ್ತು ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕುಗಳಿವೆ
23486124,ಅಂಕೀಯ ನೀರುಗುರುತು ಮಾಡುವಿಕೆಯ ಕೌಶಲಗಳನ್ನು ಹಲವಾರು ವಿಧದಲ್ಲಿ ವರ್ಗೀಕರಿಸಬಹುದು
23435778,ಅವರು ಕೆಲವು ಕಾಲ ಕಾಂಗ್ರೆಸ್ ಸರ್ಕಾರದ ಎರಡನೇ ಅವಧಿಯಲ್ಲಿ ರಸ್ತೆ ಮತ್ತು ಕಟ್ಟಡಗಳ ಸಚಿವರಾಗಿದ್ದರು
23381928,ರಾಜ್ಯಸಭೆಯಲ್ಲಿ ಪರಿಣಾಮಕಾರಿ ಬಹುಮತದಿಂದ ಅಂಗೀಕರಿಸಲ್ಪಟ್ಟ ನಿರ್ಣಯದ ಮೂಲಕ ಅವುಗಳನ್ನು ತೆಗೆದುಹಾಕಬಹುದು
23498930,ಅವುಗಳ ವೇಗವು ತಾಪಮಾನದ ಮೇಲೆ ಸಾಕಷ್ಟು ಅವಲಂಬಿತವಾಗಿರುತ್ತದೆ
23329306,ಈ ಕ್ಯಾಲೆಂಡರ್ ಅನ್ನು ಜೈಪುರದ ವಿಶ್ವ ಹಿಂದೂ ಪರಿಷತ್ತಿನ ಪ್ರಾಂತದ ಪೋಷಕರಿಂದ ಸಿದ್ಧಪಡಿಸಲಾಗಿದೆ
23330356,ಕರಿಯ ಮತದಾರರ ಹೆಸರನ್ನು ಮತದಾರರ ಪಟ್ಟಿಗಳಿಂದ ಬಲವಂತವಾಗಿ ತೆಗೆದುಹಾಕಲಾಯಿತು
24274484,Amaresh ಅವರ ಕಚೇರಿಗೆ ಕರೆ ಮಾಡಬಹುದೇ?
23590322,ಎಲ್ಲಾ ಬಲ ಸೀಟುಗಳನ್ನು ಕೆಳಕ್ಕೆ ಸರಿಸಿ
23448884,ಈ ತ್ರಿಪಕ್ಷ ದೋಷಗಳನ್ನು ನಿವಾರಿಸುವ ಹಾಗೂ ಕಾರ್ಮಿಕರ ಸ್ಥಾನಮಾನಗಳನ್ನು ಕಾಪಾಡುವುದರ ಅಗತ್ಯವನ್ನು ಜಗತ್ತು ಕಂಡುಕೊಂಡದ್ದು ನೂರೈವತ್ತು ವರ್ಷಗಳ ಹಿಂದೆಯೇ
23426808,ಹೀಗೆ ಬಸಿದು ತೆಗೆದ ನೀರಿನಲ್ಲಿ ಜೀವಸತ್ವ ಕರಗಿರುತ್ತದೆ
23618538,ದಯವಿಟ್ಟು ನನ್ನ ಸುತ್ತಮುತ್ತ ಯಾವುದಾದರೂ ಬ್ಯೂಟಿ ಪಾರ್ಲರ್‌ಗಳಿವೆಯೇ?
23442334,ಹಲವರು ವಿಷಯುಕ್ತ ಹಸಿರು ಸಸ್ಯವನ್ನು ವಿಷಯುಕ್ತ ಓಕ್ ಗಿಡಕ್ಕೆ ಹೋಲಿಕೆ ಮಾಡುತ್ತಾರೆ
23440106,ಕೇಂದ್ರ ಸರ್ಕಾರದ ನೆರವು ಮತ್ತು ಮಾರ್ಗದರ್ಶನ ಇಂಡಿಯನ್ ಕೌನ್ಸಿಲ್ ಆಫ್ ಅಗ್ರಿಕಲ್ಚರಲ್ ರಿಸರ್ಚ್ ಮೂಲಕ ಈ ಕಾರ್ಯಗಳಿಗೆ ದೊರೆಯುತ್ತಿದೆ
24032412,ದುಗ್ಧಕಣಗಳು ರಕ್ತಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ ದುಗ್ಧನಾಳ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಕಂಡುಬರುತ್ತವೆ
23644138,ಮಧ್ಯದ ಸಾಲಿನ ನಡುವಿನ ಸೀಟಿನ ಹೀಟರ್ ಅನ್ನು ಕೆಳಮಟ್ಟಕ್ಕೆ ಇಡು
23523710,ಇವರ ಹಲವಾರು ಕೃತಿಗಳು ಅಮೇರಿಕದ ಸಾಹಿತ್ಯದ ಶ್ರೇಷ್ಠ ಕೃತಿಗಳೆಂದು ಪರಿಗಣಿತವಾಗಿವೆ
23408332,ಕರ್ನಾಟಕ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಹೂಡಿಕೆ ಅಸಮತೋಲನ ಸಂಬಂಧಿಸಿದಂತೆ ನಾಗೇಶ್ ಪ್ರಭುರವರ ಬರಹ
23649076,ರೇರ್ ಬಾಗಿಲುಗಳನ್ನು ಅನ್ಲಾಕ್ ಮಾಡಿ ಮತ್ತು ಡಿಕ್ಕಿ ತೆರೆ
23345310,ತಮ್ಮ ಚೊಚ್ಚಲ ಅಂತರರಾಷ್ಟ್ರೀಯ ಟೆಸ್ಟ್ ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಇವರು ಅರ್ಧ ಶತಕ ಬಾರಿಸಿದರು
23436174,ಇದೂ ಕಣಶಿಲೆಯ ಸಾಮಾನ್ಯ ರೀತಿಯ ಚಿಕ್ಕ ಕಟ್ಟಡ
23395052,ಯಾವ ಪ್ರದೇಶದಲ್ಲಿ ರಿಡ್ಜ್ ಗಳು ನೀರಿನ ಮಟ್ಟಕ್ಕಿಂತ ಮೇಲೆ ಇರುವವೋ ಅಲ್ಲಿ ಜ್ವಾಲಾಮುಖಿ ಚಟುವಟಿಕೆಗಳು ದ್ವೀಪಗಳನ್ನು ನಿರ್ಮಿಸುತ್ತವೆ
23429468,ವಿಜಯಶ್ರೀ ಪ್ರಶಸ್ತಿ ಅತ್ತಿಮಬ್ಬೆ ಪ್ರಶಸ್ತಿ ಭಾರತಮಾತಾ ಪ್ರಶಸ್ತಿ
23347232,ಆಯಕಟ್ಟಿನ ದೃಷ್ಟಿಯಿಂದ ಈ ಪ್ರದೇಶಕ್ಕೆ ಹೆಚ್ಚಿನ ಪ್ರಾಮುಖ್ಯ
24171814,ಭಾರತದಲ್ಲಿ ಸುಮಾರು ೧೬ನೇ ಶತಮಾನದಿಂದ ಇದನ್ನು ಕೃಷಿ ಮಾಡಲಾಗಿದೆ ಎಂದು ಅಂದಾಜು ಮಾಡಲಾಗಿದೆ
23388050,ಕಥೆ ಸುಧಾ ಅಕ್ಷಯ್ ಮುರಿದು ಅನುಕ್ರಮಗಳು ಸರಣಿ ತೋರಿಸಲಾಗಿದೆ ಅವಳು ಅವನನ್ನು ಕೊಂದು ಕಾರಣ ವಿವರಿಸುವಾಗ ಒಂದು ಫ್ಲ್ಯಾಷ್ಬ್ಯಾಕ್ ಹೋಗುತ್ತದೆ
23539512,ಜೇಡಿಯು ಮಣ್ಣಿನಲ್ಲಿ ಪೋಷಕಾಂಶ ಮತ್ತು ನೀರನ್ನು ಹಿಡಿದಿಡಲು ಸಹಕರಿಸುತ್ತದೆ
23583284,ಇವರು ಬೆಳದದ್ದು ಈಗಿನ ಚೆನ್ನೈ ಎನ್ನುವ ಮದರಾಸಿನಲ್ಲಿ
23333138,ಕೆಲವೊಮ್ಮೆ ಗರ್ಭಕೋಶ ಕುಗ್ಗದೆ ತಾಯಿಯ ಜೀವಕ್ಕೆ ಅಪಾಯಕರ ಸ್ಥಿತಿ ಇದ್ದರೆ ಗರ್ಭಕೋಶವನ್ನೇ ತೆಗೆಯಬೇಕಾಗಬಹುದು
23344668,ಸ್ವಲ್ಪ ಕಾಲಾನಂತರ ಒರಟಾದ ಮಡಿಕೆಗಳ ಬಳಕೆಯೂ ಕಂಡುಬರುತ್ತದೆ
23557074,ಇಲ್ಲಿ ಗಂಗೆಯ ಪೂಜೆ ಮಾಡಿಸಲು ಪೂಜಾರಿಗಳು ಅನೇಕರು ಹಿಂದೆ ಹಿಂದೆ ಬರುತ್ತಾರೆ
23450792,ಅಂತರರಾಷ್ಟ್ರೀಯ ಪ್ರಯಾಣವು ಸಾಮಾನ್ಯವಾದ ಕಾರಣ ಗಮನಾರ್ಹವಾದ ಅಂತರರಾಷ್ಟ್ರೀಯ ಪ್ರಭಾವವಿದೆ
23391414,ವಿಶ್ವವಿದ್ಯಾನಿಲಯವು ಹಲವಾರು ಕಾಲೇಜುಗಳ ವಿವಿಧ ಕೋರ್ಸುಗಳಿಗೆ ಸಹಯೋಗ ನೀಡಿದೆ
23488172,ಪ್ರತಿಭೂತಿಗಳ ಮಾರುಕಟ್ಟೆ ಬೆಲೆಗಳು ಸಾಮಾನ್ಯವಾಗಿ ಬದಲಾಗುತ್ತ ಇರುತ್ತವೆ
24116284,೧೮೬೨ ರಲ್ಲಿ ಮೊದಲ ಪದವಿ ಬ್ಯಾಚುಲರ್ ಆಫ್ ಆರ್ಟ್ಸ್ ಮತ್ತು ಮೆಡಿಸಿನ್ ನಲ್ಲಿ ಡಿಪ್ಲೊಮ ಕೋರ್ಸ್ ಗಳಿವೆ
23405294,ರಾಜ್ಯದ ಪ್ರವಾಸಿ ತಾಣಗಳನ್ನು ಜನಪ್ರಿಯಗೊಳಿಸಲು ಚಿಕ್ಕ ಚಿಕ್ಕ ಪ್ರವಾಸಿ ಕೈಪಿಡಿಗಳನ್ನು ಸಿದ್ಧ ಪಡಿಸಿದರು
23395116,ಆನಂತರ ಚಮಚದಿಂದ ನಿಧಾನವಾಗಿ ಅದರ ಮೇಲೆ ಚಹಾ ಕಷಾಯವನ್ನು ಹಾಕುವರು
24054928,ಇಸ್ಲಾಮಿಕ್ ಶೈಲಿಯ ವಾಸ್ತುಶಿಲ್ಪ ಮತ್ತು ಶಿಲ್ಪಕಲೆಗಳಿಗೆ ಬಿಜಾಪುರ ಒಳ್ಳೆಯ ನಿದರ್ಶನ
23576402,ಪ್ರಾಣಿ ಜಗತ್ತಿನಲ್ಲಿ ಮಾನವನು ಮಾತ್ರ ಶೈಶವಾವಸ್ಥೆಯನ್ನು ದಾಟಿದ ಮೇಲೆ ಸಹ ಹಾಲನ್ನು ಬಳಸುವನು
23431334,ಯೋಗ ದರ್ಶನವು ಹಿಂದೂ ಧರ್ಮದ ಆರು ಪ್ರಮುಖ ಸಾಂಪ್ರದಾಯಿಕ ಪರಂಪರೆಗಳಲ್ಲಿ ಒಂದು
23513002,ಕಲ್ಯಾಣ ಮಂಟಪದಲ್ಲಿ ಚಿಕ್ಕ ಪುಟ್ಟ ಶುಭಕಾರ್ಯಗಳು ನಡೆಯುತ್ತಿದ್ದವು
23508440,ಮೊದಲು ಬೆಂಗಳೂರಿನ ವಿಮಾನ ಕಾರ್ಖಾನೆಯಲ್ಲಿ ಕೆಲಸಕ್ಕೆ ಸೇರಿದ್ದರು
24230086,ಅವು ನಂತರದಲ್ಲಿ ಪತ್ರಿಕೆಗಳಲ್ಲಿ ಮತ್ತು ನಿಯತಕಾಲಿಕೆಗಳಲ್ಲಿ ಪ್ರಕಟಗೊಂಡವು
23408144,ಪೂರ್ವ ಪಾಕಿಸ್ತಾನದಲ್ಲಿನ ಬಿಕ್ಕಟ್ಟು ಭಾರತದೊಂದಿಗೆ ಪಾಕಿಸ್ತಾನದ ವಿವಾದಗಳ ಸಂಬಂಧಗಳಲ್ಲಿ ಹೊಸ ಸಂಕಷ್ಟ ಗಳನ್ನು ಸೃಷ್ಟಿಸಿತು
24021016,ದೊಡ್ಡದಾದ ಮಲ್ಲಿಕಾರ್ಜುನ ದೇವಾಲಯ ೮೨ ಅಡಿ ಉದ್ದ ೪೬
23584424,ಇದು ಇಂದಿರಾ ಗಾಂಧಿ ಅಂತಾರಾಷ್ಟ್ರೀಯ ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ ತನ್ನ ಮೂಲ ಕೇಂದ್ರ ಹೊಂದಿದೆ
